Name,Position,Appearances,Club,Age,Country
Grant Hall,Defender,7,Middlesbrough,29 ,England
Thomas Mcintyre,Defender,5,Reading,22 ,Scotland
Michael Obafemi,Forward,4,Swansea City,21 ,Republic of Ireland
Fankaty Dabo,Defender,7,Coventry City,25 ,England
Joe Worrall,Defender,5,Nottingham Forest,24 ,England
Jake Clarke-Salter,Defender,7,Coventry City,23 ,England
Louie Watson,Midfielder,4,Derby County,20 ,England
Liam Kitching,Defender,6,Barnsley,21 ,England
Gaëtan Bong Songo,Defender,3,Nottingham Forest,33 ,Cameroon
Sam Morsy,Midfielder,5,Middlesbrough,29 ,Egypt
Jake Cooper,Defender,10,Millwall,26 ,England
David McGoldrick,Forward,5,Sheffield United,33 ,Republic of Ireland
Louie Sibley,Midfielder,9,Derby County,0 ,England
Ben Brereton,Forward,10,Blackburn Rovers,22 ,England
Danny Ward,Forward,8,Huddersfield Town,30 ,England
Jamie Allen,Midfielder,12,Halifax Town,26 ,England
Ethan Laird,Defender,8,Swansea City,20 ,England
Callum O'Hare,Forward,9,Coventry City,23 ,England
Yoann Barbet,Defender,11,Queens Park Rangers,28 ,France
Aaron Ramsdale,Goalkeeper,6,Arsenal,23 ,England
Bobby Reid,Midfielder,11,Fulham,28 ,England
Phil Jagielka,Defender,7,Derby County,39 ,England
Robert Dickie,Defender,12,Queens Park Rangers,25 ,England
Michael Verrips,Goalkeeper,3,Sheffield United,24 ,Netherlands
Joe Tomlinson,Defender,2,Peterborough United,21 ,England
Mahlon Beresford Baker Romeo,Defender,8,Portsmouth,25 ,Antigua and Barbuda
Shayne Lavery,Midfielder,14,Blackpool,22 ,Northern Ireland
Alfie Jones,Goalkeeper,0,Crawley Town,20 ,England
Emil Ris Jakobsen,Forward,12,Preston North End,23 ,Denmark
Abdallah Dipo Sima,Forward,3,Stoke City,20 ,Senegal
Elijah Adebayo,Forward,8,Luton Town,23 ,England
Sorba Thomas,Forward,11,Huddersfield Town,22 ,England
Charlie Kelman,Forward,4,Gillingham,0 ,England
Cameron Pring,Defender,8,Bristol City,23 ,England
Danel Sinani,Midfielder,12,Huddersfield Town,24 ,Luxembourg
Oliver Norwood,Midfielder,10,Sheffield United,30 ,Northern Ireland
Nick Powell,Midfielder,6,Stoke City,27 ,England
Robert Atkinson,Defender,9,Bristol City,0 ,England
Loïc Mbe Soh,Forward,2,Nottingham Forest,20 ,France
Allan Campbell,Midfielder,6,Luton Town,24 ,Scotland
Morgan Gibbs-White,Midfielder,7,Sheffield United,21 ,England
Grant Ward,Midfielder,5,Blackpool,26 ,England
Luke Berry,Midfielder,4,Luton Town,29 ,England
Jacob Greaves,Defender,1,Hull City,20 ,England
Tom Smith,Defender,7,Stoke City,29 ,England
Connor Wickham,Forward,2,Preston North End,28 ,England
Benjamin Whiteman,Midfielder,11,Preston North End,25 ,England
Djed Spence,Defender,7,Nottingham Forest,21 ,England
Kasey Palmer,Midfielder,5,Bristol City,24 ,England
Richard Keogh,Defender,9,Blackpool,35 ,Republic of Ireland
Maxime Colin,Defender,9,Birmingham City,29 ,France
Josef Bursik,Goalkeeper,8,Stoke City,21 ,England
Dara O'Shea,Defender,8,West Bromwich Albion,22 ,Republic of Ireland
Thomas Ince,Midfielder,3,Stoke City,29 ,England
Jean Michaël Seri,Midfielder,9,Fulham,30 ,Côte d'Ivoire
Matt Smith,Forward,12,Millwall,32 ,England
Tobias Pereira Figueiredo,Defender,7,Nottingham Forest,27 ,Portugal
Ethan Horvath,Goalkeeper,3,Nottingham Forest,26 ,USA
Tim Ream,Defender,10,Fulham,33 ,USA
Thomas Holmes,Defender,7,Reading,21 ,England
Callum Brittain,Defender,9,Barnsley,23 ,England
Perry Ng,Defender,7,Cardiff City,25 ,England
Mark Travers,Goalkeeper,10,AFC Bournemouth,22 ,Republic of Ireland
